YEAR_MONTH,PRESENTATION_BNF,PRESENTATION_BNF_DESCR,ITEMS,TOTAL QUANTITY
202211,0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,7,8
202211,0302000N0BCAEBF,Seretide 125 Evohaler,5,7
202211,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,1,3
202212,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension,414,89300
202212,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free,506,115600
202212,0501013B0AAAAAA,Amoxicillin 250mg capsules,429,14076
202212,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension,629,123400
202212,0501013B0AAATAT,Amoxicillin 250mg/5ml oral suspension sugar free,1392,273500
202212,0501013B0AAABAB,Amoxicillin 500mg capsules,2947,70620
202212,0212000B0AAAAAA,Atorvastatin 10mg tablets,1,30
202212,0212000B0AAABAB,Atorvastatin 20mg tablets,20,967
202212,0212000B0AAASAS,Atorvastatin 20mg/5ml oral suspension sugar free,10,1950
202212,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension,8,180
202212,0501050A0AAAGAG,Azithromycin 250mg tablets,1,10
202212,0501050A0AAADAD,Azithromycin 500mg tablets,1,3
202212,0501021A0AAABAB,Cefaclor 125mg/5ml oral suspension,2,500
202212,0501021A0AAACAC,Cefaclor 250mg/5ml oral suspension,2,300
202212,0501021L0AAACAC,Cefalexin 125mg/5ml oral suspension,93,14400
202212,0501021L0AAANAN,Cefalexin 125mg/5ml oral suspension sugar free,4,700
202212,0501021L0AAAAAA,Cefalexin 250mg capsules,9,215
202212,0501021L0AAAGAG,Cefalexin 250mg tablets,8,190
202212,0501021L0AAADAD,Cefalexin 250mg/5ml oral suspension,107,15800
202212,0501021L0AAAPAP,Cefalexin 250mg/5ml oral suspension sugar free,11,1900
202212,0501021L0AAABAB,Cefalexin 500mg capsules,14,218
202212,0501021L0AAAHAH,Cefalexin 500mg tablets,7,139
202212,0501050B0AAABAB,Clarithromycin 125mg/5ml oral suspension,44,5810
202212,0501050B0AAAAAA,Clarithromycin 250mg tablets,61,930
202212,0501050B0AAAHAH,Clarithromycin 250mg/5ml oral suspension,63,7000
202212,0501050B0AAADAD,Clarithromycin 500mg tablets,53,864
202212,0501013K0AAAHAH,Co-amoxiclav 125mg/31mg/5ml oral suspension,7,1100
202212,0501013K0AAADAD,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,22,3200
202212,0501013K0AAAAAA,Co-amoxiclav 250mg/125mg tablets,5,163
202212,0501013K0AAAIAI,Co-amoxiclav 250mg/62mg/5ml oral suspension,8,1300
202212,0501013K0AAAGAG,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,16,2400
202212,0501013K0AAAKAK,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free,7,595
202212,0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets,4,78
202212,0501050C0AAABAB,Erythromycin 250mg gastro-resistant tablets,65,3190
202212,0501050H0AAAAAA,Erythromycin ethyl succinate 125mg/5ml oral suspension,14,2400
202212,0501050H0AAALAL,Erythromycin ethyl succinate 125mg/5ml susp sugar free,13,2000
202212,0501050H0AAABAB,Erythromycin ethyl succinate 250mg/5ml oral suspension,3,900
202212,0501050H0AAAMAM,Erythromycin ethyl succinate 250mg/5ml susp sugar free,6,1100
202212,0501050N0AAAAAA,Erythromycin stearate 250mg tablets,1,112
202212,0604011G0BCAEBL,Estraderm MX 50 patches,2,32
202212,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),23,5520
202212,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,2,2
202212,0604011G0AABJBJ,Estradiol 1mg gel sachets,3,348
202212,0604011G0AABIBI,Estradiol 500microgram gel sachets,1,56
202212,0702010F0AAACAC,Estriol 0.01% cream with applicator,4,7
202212,0702010F0AAAAAA,Estriol 0.1% cream,6,135
202212,0604011G0BFADBN,Evorel 100 patches,2,16
202212,0604011G0BFABBA,Evorel 25 patches,13,224
202212,0604011G0BFAABL,Evorel 50 patches,16,389
202212,0604011G0BFACBR,Evorel 75 patches,27,560
202212,0501012G0AAAFAF,Flucloxacillin 125mg/5ml oral solution,355,55700
202212,0501012G0AAAPAP,Flucloxacillin 125mg/5ml oral solution sugar free,89,13700
202212,0501012G0AAAAAA,Flucloxacillin 250mg capsules,18,676
202212,0501012G0AAAGAG,Flucloxacillin 250mg/5ml oral solution,139,21500
202212,0501012G0AAAQAQ,Flucloxacillin 250mg/5ml oral solution sugar free,44,7100
202212,0501012G0AAABAB,Flucloxacillin 500mg capsules,11,472
202212,0403030E0AAALAL,Fluoxetine 10mg capsules,58,2022
202212,0302000N0AABFBF,Fluticasone 125mcg/dose / Salmeterol 25mcg/dose inh CFC free,1,1
202212,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,8,1023
202212,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,20,5120
202212,0702010F0BCAAAA,Ovestin 1mg cream,1,75
202212,0501011P0AAADAD,Phenoxymethylpenicillin 125mg/5ml oral solution,2012,623600
202212,0501011P0AAARAR,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,389,121100
202212,0501011P0AAAJAJ,Phenoxymethylpenicillin 250mg tablets,2554,92217
202212,0501011P0AAAFAF,Phenoxymethylpenicillin 250mg/5ml oral solution,31,5600
202212,0501011P0AAASAS,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,5,1000
202212,0604011G0BPABBJ,Sandrena 1mg gel sachets,7,475
202212,0302000N0BCAEBF,Seretide 125 Evohaler,4,5
202212,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,4,5
202301,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension,460,97900
202301,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free,388,77500
202301,0501013B0AAAAAA,Amoxicillin 250mg capsules,272,9620
202301,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension,1292,258600
202301,0501013B0AAATAT,Amoxicillin 250mg/5ml oral suspension sugar free,2295,462200
202301,0501013B0AAABAB,Amoxicillin 500mg capsules,1974,46378
202301,0501013B0AAAVAV,Amoxicillin 500mg/5ml oral suspension sugar free,1,200
202301,0212000B0AAAAAA,Atorvastatin 10mg tablets,9,304
202301,0212000B0AAAMAM,Atorvastatin 20mg chewable tablets sugar free,1,30
202301,0212000B0AAABAB,Atorvastatin 20mg tablets,23,1078
202301,0212000B0AAASAS,Atorvastatin 20mg/5ml oral suspension sugar free,18,4050
202301,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension,2,45
202301,0501021L0AAACAC,Cefalexin 125mg/5ml oral suspension,58,9300
202301,0501021L0AAANAN,Cefalexin 125mg/5ml oral suspension sugar free,7,1200
202301,0501021L0AAAAAA,Cefalexin 250mg capsules,1,28
202301,0501021L0AAAGAG,Cefalexin 250mg tablets,1,15
202301,0501021L0AAADAD,Cefalexin 250mg/5ml oral suspension,58,8500
202301,0501021L0AAAPAP,Cefalexin 250mg/5ml oral suspension sugar free,1,200
202301,0501021L0AAABAB,Cefalexin 500mg capsules,5,74
202301,0501050B0AAABAB,Clarithromycin 125mg/5ml oral suspension,184,21000
202301,0501050B0AAAAAA,Clarithromycin 250mg tablets,26,462
202301,0501050B0AAAHAH,Clarithromycin 250mg/5ml oral suspension,149,15680
202301,0501050B0AAADAD,Clarithromycin 500mg tablets,70,1025
202301,0501013K0AAAHAH,Co-amoxiclav 125mg/31mg/5ml oral suspension,9,1400
202301,0501013K0AAADAD,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,9,1100
202301,0501013K0AAAAAA,Co-amoxiclav 250mg/125mg tablets,3,63
202301,0501013K0AAAIAI,Co-amoxiclav 250mg/62mg/5ml oral suspension,11,1600
202301,0501013K0AAAGAG,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,3,500
202301,0501013K0AAAKAK,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free,1,140
202301,0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets,2,51
202301,0501050C0AAABAB,Erythromycin 250mg gastro-resistant tablets,67,5028
202301,0501050H0AAAAAA,Erythromycin ethyl succinate 125mg/5ml oral suspension,10,1500
202301,0501050H0AAALAL,Erythromycin ethyl succinate 125mg/5ml susp sugar free,7,1200
202301,0501050H0AAAMAM,Erythromycin ethyl succinate 250mg/5ml susp sugar free,7,1500
202301,0501050H0AAACAC,Erythromycin ethyl succinate 500mg/5ml oral suspension,1,100
202301,0501050N0AAAAAA,Erythromycin stearate 250mg tablets,2,280
202301,0501050N0AAABAB,Erythromycin stearate 500mg tablets,1,112
202301,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),5,1120
202301,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,1,1
202301,0604011G0AABJBJ,Estradiol 1mg gel sachets,2,168
202301,0604011G0AABIBI,Estradiol 500microgram gel sachets,1,84
202301,0702010F0AAAAAA,Estriol 0.1% cream,3,90
202301,0604011G0BFADBN,Evorel 100 patches,66,1424
202301,0604011G0BFABBA,Evorel 25 patches,5,112
202301,0604011G0BFAABL,Evorel 50 patches,75,1584
202301,0604011G0BFACBR,Evorel 75 patches,69,1468
202301,0501012G0AAAFAF,Flucloxacillin 125mg/5ml oral solution,287,48600
202301,0501012G0AAAPAP,Flucloxacillin 125mg/5ml oral solution sugar free,65,11000
202301,0501012G0AAAAAA,Flucloxacillin 250mg capsules,11,484
202301,0501012G0AAAGAG,Flucloxacillin 250mg/5ml oral solution,134,20700
202301,0501012G0AAAQAQ,Flucloxacillin 250mg/5ml oral solution sugar free,42,7000
202301,0501012G0AAABAB,Flucloxacillin 500mg capsules,10,364
202301,0403030E0AAALAL,Fluoxetine 10mg capsules,68,2305
202301,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,1,1
202301,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,5,1360
202301,0501011P0AAADAD,Phenoxymethylpenicillin 125mg/5ml oral solution,1636,531000
202301,0501011P0AAARAR,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,355,114800
202301,0501011P0AAAJAJ,Phenoxymethylpenicillin 250mg tablets,1939,74420
202301,0501011P0AAAFAF,Phenoxymethylpenicillin 250mg/5ml oral solution,29,4800
202301,0501011P0AAASAS,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,17,3000
202301,0604011G0BLAABL,Progynova TS 50micrograms/24hours transdermal patches,1,4
202301,0604011G0BPABBJ,Sandrena 1mg gel sachets,3,196
202301,0604011G0BPAABI,Sandrena 500microgram gel sachets,1,84
202302,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension,254,47300
202302,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free,322,61100
202302,0501013B0AAAAAA,Amoxicillin 250mg capsules,118,5142
202302,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension,961,187500
202302,0501013B0AAATAT,Amoxicillin 250mg/5ml oral suspension sugar free,1732,350200
202302,0501013B0AAABAB,Amoxicillin 500mg capsules,360,9153
202302,0501013B0AAAVAV,Amoxicillin 500mg/5ml oral suspension sugar free,2,300
202302,0212000B0AAAAAA,Atorvastatin 10mg tablets,4,202
202302,0212000B0AAABAB,Atorvastatin 20mg tablets,1,56
202302,0212000B0AAASAS,Atorvastatin 20mg/5ml oral suspension sugar free,3,600
202302,0501021L0AAACAC,Cefalexin 125mg/5ml oral suspension,17,2600
202302,0501021L0AAANAN,Cefalexin 125mg/5ml oral suspension sugar free,2,500
202302,0501021L0AAADAD,Cefalexin 250mg/5ml oral suspension,27,4300
202302,0501021L0AAAPAP,Cefalexin 250mg/5ml oral suspension sugar free,5,700
202302,0501021L0AAAHAH,Cefalexin 500mg tablets,1,21
202302,0501050B0AAABAB,Clarithromycin 125mg/5ml oral suspension,32,3500
202302,0501050B0AAAAAA,Clarithromycin 250mg tablets,1,20
202302,0501050B0AAAHAH,Clarithromycin 250mg/5ml oral suspension,25,2660
202302,0501050B0AAADAD,Clarithromycin 500mg tablets,10,154
202302,0501013K0AAAHAH,Co-amoxiclav 125mg/31mg/5ml oral suspension,14,2200
202302,0501013K0AAADAD,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,2,300
202302,0501013K0AAAAAA,Co-amoxiclav 250mg/125mg tablets,1,30
202302,0501013K0AAAIAI,Co-amoxiclav 250mg/62mg/5ml oral suspension,7,1100
202302,0501013K0AAAGAG,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,3,500
202302,0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets,12,423
202302,0501050C0AAABAB,Erythromycin 250mg gastro-resistant tablets,22,2172
202302,0501050H0AAAAAA,Erythromycin ethyl succinate 125mg/5ml oral suspension,6,1300
202302,0501050H0AAALAL,Erythromycin ethyl succinate 125mg/5ml susp sugar free,3,700
202302,0501050H0AAABAB,Erythromycin ethyl succinate 250mg/5ml oral suspension,1,200
202302,0501050H0AAAMAM,Erythromycin ethyl succinate 250mg/5ml susp sugar free,3,300
202302,0604011G0BCAEBL,Estraderm MX 50 patches,1,8
202302,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),1,240
202302,0604011G0AABJBJ,Estradiol 1mg gel sachets,4,349
202302,0604011G0AABIBI,Estradiol 500microgram gel sachets,3,258
202302,0604011G0BFADBN,Evorel 100 patches,217,4576
202302,0604011G0BFABBA,Evorel 25 patches,3,64
202302,0604011G0BFAABL,Evorel 50 patches,392,7772
202302,0604011G0BFACBR,Evorel 75 patches,7,128
202302,0501012G0AAAFAF,Flucloxacillin 125mg/5ml oral solution,85,13600
202302,0501012G0AAAPAP,Flucloxacillin 125mg/5ml oral solution sugar free,21,3600
202302,0501012G0AAAAAA,Flucloxacillin 250mg capsules,1,28
202302,0501012G0AAAGAG,Flucloxacillin 250mg/5ml oral solution,56,8200
202302,0501012G0AAAQAQ,Flucloxacillin 250mg/5ml oral solution sugar free,26,4000
202302,0403030E0AAALAL,Fluoxetine 10mg capsules,67,2007
202302,0403030E0AAAAAA,Fluoxetine 20mg capsules,1,28
202302,0501011P0AAADAD,Phenoxymethylpenicillin 125mg/5ml oral solution,767,238800
202302,0501011P0AAARAR,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,214,70200
202302,0501011P0AAAJAJ,Phenoxymethylpenicillin 250mg tablets,860,32620
202302,0501011P0AAAFAF,Phenoxymethylpenicillin 250mg/5ml oral solution,44,7600
202302,0501011P0AAASAS,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,3,800
202302,0604011G0BPABBJ,Sandrena 1mg gel sachets,1,84
202302,0604011G0BPAABI,Sandrena 500microgram gel sachets,4,280
